runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
0.001773,10,17,121,248,12,12,6,8,1,5,0,2,0,2,2,0,23,0,0.00105,1.4e-05,2.8e-05,3e-06,1e-05,0.000314,2e-05,2.8e-05,3e-06,8e-06,5.4e-05,9.3e-05,20,7e-06,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/Cross1-3.scen:
0.001363,10,17,121,248,12,12,6,8,1,5,0,2,0,2,0,0,23,0,0.000768,1.4e-05,5e-06,2e-06,1.3e-05,0.000295,0,2.5e-05,5e-06,3e-06,5.4e-05,7.5e-05,20,1e-05,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/Cross1-3.scen:
60.0025,58367,259937,3386904,5301014,-1,24,8,11,19592,1946,0,32,0,2510,82033,0,35688,434540,3.85144,0.12478,0.610699,0.202242,0.334003,26.9762,0.441198,0.042456,0.266798,0.222637,2.01604,2.97769,545050,8e-06,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/Cross1-4.scen:
60.0001,90418,173618,3397342,4870199,-1,29,8,11,16340,68296,0,264,0,21858,0,0,221038,26608,24.739,0.080565,0.122117,0.109548,0.098942,15.943,0,1.51565,0.141975,0.114212,1.69156,1.99822,201564,9e-06,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/Cross1-4.scen:
60.0002,69654,385852,5496206,8372631,-1,27,8,13,25268,2386,0,27,0,6952,27375,0,41398,733973,6.56731,0.171911,0.978274,0.362352,0.335039,21.6371,0.614932,0.056281,0.369722,0.303537,3.2235,4.77836,804327,1e-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/Cross1-5.scen:
60,63989,121903,2658716,3657249,-1,33,8,13,15823,45559,0,157,0,18273,0,0,229407,45047,25.0663,0.074081,0.131576,0.173923,0.111994,17.165,0,1.08368,0.103173,0.086503,1.3639,1.67033,148183,1e-05,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/Cross1-5.scen:
60.0002,78301,419527,7370662,12215495,-1,26,12,18,40463,3922,0,48,0,18546,33275,0,37194,717335,9.32401,0.365226,1.13663,0.245724,2.08004,19.817,0.794782,0.052667,0.368251,0.30244,4.12576,5.78066,650745,9e-06,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/Cross4-4.scen:
60,63989,120628,2520824,3938477,-1,31,12,18,15386,51771,0,2053,0,10165,0,0,174435,19448,24.4775,0.079291,0.082011,0.137139,0.617875,15.6583,0,1.04933,0.109776,0.084849,1.30466,1.51385,147294,9e-06,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/Cross4-4.scen:
