runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution_cost,min_f_value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate_conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime_duplicate_conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver_name,instance_name
0.000267,1,2,311,405,34,34,29,34,0,0,0,1,0,0,0,0,1,0,0.000132,0,1E-06,0,1E-05,0,0,7E-06,0,2E-06,8.4E-05,8.5E-05,2,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
0.007111,3,5,944,1177,51,51,26,51,0,0,0,2,0,1,0,0,3,0,0.005313,1E-06,1E-05,0,0.000165,0.001194,8E-06,0.000102,2E-06,9E-06,0.000278,0.000291,6,1.3E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
0.006559,3,5,944,1177,51,51,26,51,0,0,0,2,0,1,0,0,3,0,0.004836,2E-06,0,0,0.000161,0.001137,0,0.000116,2E-06,8E-06,0.000271,0.000276,6,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
0.016425,7,14,790,1264,33,33,23,30,2,4,0,1,0,2,0,0,20,0,0.012538,2.5E-05,3.1E-05,5E-06,0.000519,0.002795,2.5E-05,0.000124,5E-06,1.3E-05,0.00028,0.000318,16,1.5E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
0.017092,7,14,790,1264,33,33,23,30,2,4,0,1,0,2,0,0,20,0,0.013253,2.6E-05,9E-06,7E-06,0.000532,0.002783,0,0.000116,4E-06,1.5E-05,0.000269,0.000288,16,1.6E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
0.000164,1,3,92,184,30,30,26,30,0,0,0,1,0,0,0,0,1,0,7.7E-05,1E-06,6E-06,0,9E-06,0,6E-06,6E-06,0,1E-06,2.6E-05,3.1E-05,2,1.5E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
0.000131,1,3,92,184,30,30,26,30,0,0,0,1,0,0,0,0,1,0,5.3E-05,1E-06,1E-06,0,8E-06,0,0,6E-06,0,2E-06,2.5E-05,2.7E-05,2,1.6E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
60.0016,1912,4336,1054746,1382626,-1,98,20,92,46,1748,0,2,0,19,1288,0,3790,17,51.7644,0.002434,0.024042,0.023461,0.587302,6.28886,0.020378,0.260078,0.011521,0.382215,0.794118,0.822262,4458,1.3E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
60.0016,589,1176,355059,435549,-1,98,20,92,2,582,0,2,0,5,0,0,1825,1,56.0144,0.001412,0.000927,0.015066,0.447788,2.76413,0,0.122497,0.00563,0.358346,0.517568,0.520103,1181,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
0.000173,1,2,125,183,23,23,20,23,0,0,0,1,0,0,0,0,1,0,7.7E-05,1E-06,5E-06,0,1.7E-05,0,4E-06,5E-06,0,2E-06,3.3E-05,3.5E-05,2,1.4E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
0.000181,1,2,125,183,23,23,20,23,0,0,0,1,0,0,0,0,1,0,7.1E-05,1E-06,1E-06,0,4.1E-05,0,0,6E-06,0,1E-06,3.1E-05,3.3E-05,2,1.9E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
2.1E-05,0,1,22,55,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,3E-06,0,0,0,1E-06,0,0,0,0,0,0,1.4E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-16.scen:
2.6E-05,0,1,22,55,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,1E-06,0,0,0,0,0,0,0,0,0,0,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-16.scen:
60,2103,4410,1454568,1790098,-1,95,33,83,196,2045,0,2,0,3,1503,0,4983,55,50.9334,0.002662,0.034087,0.028759,0.722268,6.95856,0.030421,0.329851,0.00956,0.221661,0.757028,0.795453,4658,1.2E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-17.scen:
60.0002,1031,2061,652893,809471,-1,95,33,83,55,1025,0,2,0,4,0,0,2698,1,54.3249,0.002124,0.001382,0.019609,0.50662,4.43231,0,0.177,0.005069,0.1759,0.422228,0.426008,2163,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-17.scen:
60.0019,1061,6329,389673,594652,-1,62,25,62,0,0,0,1,0,1,6320,0,1802,8,55.1494,0.001304,0.027529,0.001605,0.276328,3.78546,0.024775,0.066527,0.006297,0.475277,0.642452,0.674261,6358,1.4E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-18.scen:
60.0005,3086,6172,2449509,2831334,-1,73,25,62,0,1900,0,1,0,1185,0,0,3788,2135,51.2729,0.004133,0.003779,0.036738,0.528715,6.0928,0,0.324154,0.008929,0.680548,1.49567,1.50514,6172,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-18.scen:
0.000171,1,3,88,174,22,22,20,22,0,0,0,1,0,0,0,0,1,0,9E-05,1E-06,5E-06,0,9E-06,0,4E-06,5E-06,1E-06,1E-06,2.7E-05,3E-05,2,1.5E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-19.scen:
0.000128,1,3,88,174,22,22,20,22,0,0,0,1,0,0,0,0,1,0,5.5E-05,0,1E-06,0,9E-06,0,0,8E-06,1E-06,1E-06,2.5E-05,2.7E-05,2,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-19.scen:
60.0007,5782,11562,2209211,2909549,-1,66,29,66,0,5777,0,3,0,2,0,0,6562,0,54.1101,0.003945,0.024912,0.018959,1.1958,2.05326,0.017547,0.77583,0.024735,0.707284,1.52624,1.55922,11564,1.4E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-20.scen:
60.0014,5827,11652,2226720,2932565,-1,66,29,66,0,5822,0,3,0,2,0,0,6616,0,54.1127,0.003707,0.005777,0.016824,1.1942,2.05489,0,0.777436,0.024095,0.716438,1.54645,1.56037,11654,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-20.scen:
0.002155,3,5,99,185,18,18,9,18,0,0,0,2,0,1,0,0,3,0,0.001907,2E-06,1E-05,0,4E-05,0.000107,7E-06,1.1E-05,1E-06,6E-06,4.1E-05,5.2E-05,6,1.4E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-21.scen:
0.001972,3,5,99,185,18,18,9,18,0,0,0,2,0,1,0,0,3,0,0.001746,2E-06,3E-06,0,3.7E-05,9.9E-05,0,1.2E-05,1E-06,6E-06,3.8E-05,4.2E-05,6,1.6E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-21.scen:
60.0022,29494,58987,5573422,7841470,-1,38,16,35,82,29404,0,2,0,88,38,0,44000,0,46.2636,0.020243,0.080877,0.048631,2.45912,5.0041,0.049367,1.8363,0.080266,0.077244,2.14153,2.26093,59151,1.5E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-22.scen:
60.0007,29493,58985,5573208,7841187,-1,38,16,35,82,29404,0,2,0,87,0,0,43979,0,44.7957,0.020524,0.02403,0.048792,2.43857,6.5296,0,1.78686,0.077767,0.070464,2.11649,2.17922,59149,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-22.scen:
3.7E-05,0,1,18,45,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,3E-06,0,0,0,1E-06,0,0,0,0,0,0,1.4E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-23.scen:
1.9E-05,0,1,18,45,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,1E-06,0,0,0,0,0,0,0,0,0,0,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-23.scen:
0.036802,17,34,5104,7071,46,46,19,33,8,15,0,1,0,1,1,0,30,0,0.023803,1.6E-05,0.000115,2.6E-05,0.000526,0.009357,9.2E-05,0.000924,1.4E-05,5.3E-05,0.001823,0.001965,42,1.4E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-24.scen:
0.037298,17,34,5104,7071,46,46,19,33,8,15,0,1,0,1,0,0,30,0,0.024058,2.1E-05,1.7E-05,3E-05,0.00054,0.00955,0,0.00093,1.8E-05,5E-05,0.001915,0.001978,42,1.4E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-24.scen:
0.014428,14,25,2746,3884,53,53,37,46,0,8,0,4,0,2,0,0,22,0,0.007706,2.9E-05,7.2E-05,1.3E-05,0.000747,0.004257,5.8E-05,0.000456,5E-06,3.8E-05,0.000983,0.001074,28,1.5E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-25.scen:
0.013763,14,25,2746,3884,53,53,37,46,0,8,0,4,0,2,0,0,22,0,0.007308,2.8E-05,1.5E-05,1.6E-05,0.000767,0.004083,0,0.000456,1.2E-05,3E-05,0.000946,0.000973,28,1.3E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-25.scen:
0.173926,21,42,2944,5318,53,53,27,44,15,17,0,2,0,2,0,0,45,0,0.122997,3.4E-05,8.5E-05,3.6E-05,0.00116,0.046372,5E-05,0.000975,4.6E-05,0.0004,0.001652,0.001777,57,1.8E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
0.175458,21,42,2944,5318,53,53,27,44,15,17,0,2,0,2,0,0,45,0,0.124377,3.9E-05,2.9E-05,2.8E-05,0.001173,0.046489,0,0.001008,4.9E-05,0.000424,0.001708,0.001794,57,1.8E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
12.511,591,1176,428278,496755,101,101,38,86,2,484,0,5,0,101,0,0,1090,1,11.2058,0.000765,0.003415,0.002564,0.149549,0.769701,0.002489,0.091701,0.001937,0.100783,0.250777,0.255256,1183,1.6E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
12.2224,591,1176,428278,496755,101,101,38,86,2,484,0,5,0,101,0,0,1090,1,10.9367,0.00075,0.000811,0.002418,0.146895,0.762596,0,0.090177,0.001871,0.099742,0.246272,0.248085,1183,1.8E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
