runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
60.0001,34713,82509,1362145,1832481,-1,24,6,8,9398,4324,0,23,0,5630,56844,0,64787,58412,5.68313,0.046472,0.216285,0.077708,0.107828,25.8469,0.168348,0.200139,0.108287,0.073749,0.722761,1.04699,192767,9e-06,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/LetterT1-3.scen:
60.0003,68051,127957,2706614,3503246,-1,29,6,8,9583,49441,0,39,0,18571,0,0,155645,7347,23.8177,0.060232,0.075676,0.060613,0.074888,17.8508,0,1.7363,0.112836,0.078486,1.22576,1.42542,146782,9e-06,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/LetterT1-3.scen:
60.0021,50800,141893,1937511,3016365,-1,19,6,12,13522,19228,0,3,0,6515,48621,0,69742,90217,9.90933,0.055199,0.303627,0.094226,0.509956,23.6419,0.221746,0.228882,0.131412,0.090791,1.07349,1.52009,234943,9e-06,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/LetterT2-3.scen:
60.0002,63778,123711,2713303,3709888,-1,24,6,12,3622,46347,0,11,0,17420,0,0,125937,574,28.1228,0.058784,0.065383,0.057054,0.473991,18.2736,0,2.24721,0.109555,0.068722,1.25537,1.42066,133122,9e-06,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/LetterT2-3.scen:
